微博创建时间,微博url,点赞数,转发数,评论数,工具,关键词,微博内容,情感得分,TF-IDF关键词,TextRank关键词
2018/1/2 12:46,https://weibo.com/1896820725/FCuaenYpS,664,10,84,微博 weibo.com,A股,开工，上午大盘受港股彪悍的突破3万点大关影响，A股主板也同步上涨突破半年线的压制和3322点，权重指数更是涨幅不俗，上证50和沪深300涨幅超过1%。中小创稍弱！沪市主板成交量超过深市。看来新年的增量资金买进对象依旧是大盘蓝筹股和绩优股为主。新年首秀，放量带缺口上涨，一轮反弹已经展开，预计下午大盘冲高后，横盘震荡，主要看看黄线是否能及时跟上缩小差距。还是指数行情，多关注量比放大，MSCI成份股和沪深300成份股的走势。,36.81421687,300 成份股 新年 大盘 主板 ,大盘 上涨 主板 指数 突破 
2018/1/1 14:57,https://weibo.com/6003448985/FClATcYoN,268,489,23,微博 weibo.com,A股,《A股2018十大投资主题：既有大消费也有黑科技，附股.（不要错过了)》  #财经MCN# A股2018十大投资主题：既有大消费也有黑科技，附股.（不要错过了),-1.39E-15,A股 2018 附股 错过 既有 ,主题 A股 附股 科技 消费 
2018/1/2 23:16,https://weibo.com/1249424622/FCyi2lRNE,84,274,50,iPhone X,A股,A股上市公司区域分布 [组图共2张],0,A股 组图 区域 上市公司 分布 ,区域 分布 组图 A股 
2018/1/2 11:07,https://weibo.com/2144596567/FCtw93lzP,412,59,109,HUAWEI Mate 9,A股,不错，2018A股开门红，虽然是跌出来的但也是红，金融台搭得不错，实业（龙头行业龙头股）戏也不差。算是继价值投资之往了，后面行情演绎（持续反弹）的高度就看如何开科技股之未来了。另，落难英雄也渐渐走入投资者的视野。,24.91014303,不错 2018 A股 之往 落难 ,反弹 走入 投资者 龙头 算是 
2018/1/2 11:19,https://weibo.com/1769469393/FCtAKtSIM,187,30,33,HUAWEI P10,A股,手机上看了下，近期3300以下，一些机构资金在涌入，也感知到有部分新低股有人在开始吸纳了，2018比2017年的新低个股比例增加了不少，已经有部分优质个股显现出了它的投资性，今年我会将策略从2017年A股平均仓位不低于2成，伺机上调至3.5-4成，仓位配置还是按照可投资个股比例增加，不见兔子不撒鹰。,10.56936065,2017 新低 个股 仓位 3300 ,个股 比例 增加 新低 部分 
2018/1/2 23:17,https://weibo.com/1649173367/FCyic6LVS,59,57,40,微博 weibo.com,A股,2017年A股IPO家数区域分布揭晓，看看你的家乡通过了多少家？ 每日经济新闻的秒拍视频,12.11826316,2017 A股 IPO 揭晓 家数 ,新闻 区域 分布 看看 揭晓 
2018/1/4 22:17,https://weibo.com/1896820725/FCQL6raS4,681,41,162,iPhone 7 Plus,A股,全世界股市都疯了！[haha]让A股也疯一次吧，别控制！,-0.435399571,haha A股 全世界 股市 控制 ,股市 全世界 
2018/1/3 14:53,https://weibo.com/1509681674/FCEqpkFj3,680,112,103,iPhone X,A股,狗年A股全年走势图出来了,0.485981473,A股 走势图 全年 出来 ,出来 A股 
2018/1/3 19:19,https://weibo.com/2082892671/FCGaaD33C,93,267,35,HUAWEI Mate 10 Pro,A股,市场情绪对大盘的影响，总结的得最精辟就是著名投资家邓普顿的名言：“牛市在悲观中诞生，在怀疑中成长，在乐观中成熟，在兴奋中死亡。”从悲观、怀疑、乐观到兴奋，A股的时间周期大概是五年左右。2015年下半年充斥着悲观情绪，2016年和2017年处于怀疑阶段，2018年偏乐观，明后年开始兴奋。绝佳的买点是2015年第四季度，当市场比较悲观时摸进去，机会是给先知先觉的人准备的。,33.87154446,悲观 2015 兴奋 怀疑 乐观 ,兴奋 怀疑 情绪 大盘 总结 
2018/1/6 13:18,https://weibo.com/1708922835/FD65nld6p,139,145,63,微博 weibo.com,A股,【中国首个精神病院上市公司！这是一门天花板高、护城河宽的好生意…………以后韭菜炒股精神崩溃，可去这里疗养】自从得了精神病，精神好多了。A股的韭菜们，其实一直都是精神病高发人群。每天在红绿K线之间、天堂和地狱之间徘徊，被股灾洗刷，被各种庄家收割，被各种黑嘴误导，被每天海量的财经新闻刷屏，不仅如此，还要被各种上市公司的财务魔术，各种忽悠……终于，你们的福音来了，一家精神病院，正在排队IPO，马上要来把治疗精神病的福音，传播给大家。以后炒股精神崩溃，有地方可去了。http://t.cn/RHB7oKr,-3.652246,精神病 精神病院 福音 各种 韭菜 ,精神 精神病 徘徊 崩溃 海量 
2018/1/6 23:00,https://weibo.com/1514515032/FD9TkiRq1,260,81,70,微博 weibo.com,A股,发布了头条文章：《2018戊戌流年A股大盘总趋势预测》 2018戊戌流年A股大盘总趋势预测,6.174247409,2018 A股 戊戌 总趋势 预测 ,预测 文章 总趋势 头条 大盘 
